Date,Year,Format,Opponent,OpponentTeam,Venue,Runs,Balls,StrikeRate,Fours,Sixes,Is50,Is100,Format_TotalMatches,Format_TotalInnings,Format_CareerRuns,Format_CareerCenturies,Format_CareerHalfCenturies,Format_CareerHighestScore,Format_CareerAverage,Format_CareerStrikeRate,Format_Status
2014-04-16,2014,Test,South Africa,,Sydney,63,111,56.76,8,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-05-26,2014,Test,West Indies,,Chennai,83,146,56.85,7,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-07-04,2014,Test,Australia,,Chennai,49,86,56.98,5,1,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-08-12,2014,Test,South Africa,,Delhi,6,10,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-09-20,2014,Test,South Africa,,Bengaluru,1,1,100.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-10-29,2014,Test,New Zealand,,London,16,28,57.14,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2014-12-08,2014,Test,Zimbabwe,,Colombo,45,79,56.96,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-01-16,2015,Test,Pakistan,,Cape Town,14,24,58.33,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-02-24,2015,Test,England,,Mumbai,24,42,57.14,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-04-04,2015,Test,Sri Lanka,,Mumbai,73,128,57.03,8,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-05-14,2015,Test,Australia,,London,112,197,56.85,10,2,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-06-22,2015,Test,Pakistan,,Colombo,30,53,56.6,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-07-31,2015,Test,West Indies,,Chennai,186,328,56.71,20,3,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-09-08,2015,Test,Afghanistan,,Delhi,0,11,0.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-10-18,2015,Test,Sri Lanka,,Chennai,3,5,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2015-11-26,2015,Test,Australia,,Kolkata,16,28,57.14,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-01-04,2016,Test,South Africa,,London,39,68,57.35,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-02-12,2016,Test,West Indies,,Sydney,89,157,56.69,11,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-03-22,2016,Test,England,,Mumbai,15,26,57.69,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-05-01,2016,Test,New Zealand,,Colombo,11,19,57.89,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-06-09,2016,Test,Sri Lanka,,Melbourne,5,8,62.5,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-07-18,2016,Test,Afghanistan,,Sydney,22,38,57.89,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-08-26,2016,Test,South Africa,,Kolkata,91,160,56.88,12,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-10-05,2016,Test,West Indies,,Cape Town,33,58,56.9,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-11-13,2016,Test,Sri Lanka,,Ahmedabad,17,30,56.67,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2016-12-22,2016,Test,Bangladesh,,Delhi,0,5,0.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-01-30,2017,Test,Australia,,Melbourne,2,3,66.67,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-03-11,2017,Test,Australia,,Bengaluru,9,15,60.0,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-04-19,2017,Test,Pakistan,,Cape Town,49,86,56.98,6,1,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-05-28,2017,Test,South Africa,,Ahmedabad,4,7,57.14,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-07-06,2017,Test,England,,Kolkata,49,86,56.98,6,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-08-14,2017,Test,Zimbabwe,,Melbourne,49,86,56.98,5,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-09-23,2017,Test,Sri Lanka,,Kolkata,49,86,56.98,5,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-11-01,2017,Test,Pakistan,,Delhi,94,166,56.63,8,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2017-12-10,2017,Test,Bangladesh,,Melbourne,10,17,58.82,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-01-18,2018,Test,West Indies,,Dubai,25,44,56.82,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-02-27,2018,Test,Sri Lanka,,Sydney,11,19,57.89,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-04-07,2018,Test,South Africa,,Sydney,94,166,56.63,11,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-05-16,2018,Test,Zimbabwe,,Mumbai,26,45,57.78,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-06-24,2018,Test,West Indies,,Ahmedabad,14,24,58.33,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-08-03,2018,Test,Australia,,Ahmedabad,8,14,57.14,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-09-11,2018,Test,England,,Dubai,11,19,57.89,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-10-20,2018,Test,West Indies,,London,19,33,57.58,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2018-11-28,2018,Test,South Africa,,Cape Town,2,3,66.67,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-01-06,2019,Test,Sri Lanka,,Ahmedabad,49,86,56.98,5,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-02-15,2019,Test,West Indies,,Colombo,14,24,58.33,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-03-26,2019,Test,Zimbabwe,,Ahmedabad,75,132,56.82,9,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-05-04,2019,Test,England,,Colombo,49,86,56.98,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-06-12,2019,Test,South Africa,,Cape Town,49,86,56.98,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-07-22,2019,Test,England,,Ahmedabad,6,10,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-08-30,2019,Test,New Zealand,,London,14,24,58.33,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-10-08,2019,Test,Pakistan,,Delhi,96,169,56.8,8,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-11-16,2019,Test,Pakistan,,Bengaluru,12,21,57.14,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2019-12-26,2019,Test,Afghanistan,,Mumbai,105,185,56.76,11,1,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-02-03,2020,Test,South Africa,,Cape Town,159,280,56.79,21,2,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-03-13,2020,Test,South Africa,,Dubai,19,33,57.58,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-04-21,2020,Test,Afghanistan,,Mumbai,10,17,58.82,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-05-30,2020,Test,Pakistan,,Colombo,23,40,57.5,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-07-09,2020,Test,Zimbabwe,,Chennai,94,166,56.63,11,0,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-08-17,2020,Test,Pakistan,,Mumbai,3,5,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-09-25,2020,Test,Bangladesh,,Delhi,49,86,56.98,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-11-03,2020,Test,Pakistan,,Colombo,0,1,0.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2020-12-13,2020,Test,Australia,,Melbourne,2,3,66.67,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-01-21,2021,Test,Australia,,London,15,26,57.69,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-03-01,2021,Test,Afghanistan,,Melbourne,49,86,56.98,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-04-09,2021,Test,Afghanistan,,Colombo,0,8,0.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-05-19,2021,Test,England,,Mumbai,180,318,56.6,17,4,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-06-27,2021,Test,Sri Lanka,,Dubai,26,45,57.78,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-08-05,2021,Test,South Africa,,Melbourne,8,14,57.14,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-09-13,2021,Test,West Indies,,Cape Town,1,1,100.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-10-22,2021,Test,South Africa,,Sydney,6,10,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2021-12-01,2021,Test,Australia,,Mumbai,0,8,0.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-01-09,2022,Test,Zimbabwe,,Mumbai,176,310,56.77,20,3,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-02-17,2022,Test,Afghanistan,,Bengaluru,49,86,56.98,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-03-28,2022,Test,Zimbabwe,,Melbourne,20,35,57.14,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-05-07,2022,Test,England,,Kolkata,24,42,57.14,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-06-15,2022,Test,New Zealand,,Dubai,48,84,57.14,6,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-07-24,2022,Test,Pakistan,,Dubai,52,91,57.14,5,0,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-09-01,2022,Test,Afghanistan,,Cape Town,106,187,56.68,14,1,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-10-11,2022,Test,England,,Dubai,6,10,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-11-19,2022,Test,Zimbabwe,,Colombo,21,37,56.76,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2022-12-28,2022,Test,Australia,,Ahmedabad,0,2,0.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-02-05,2023,Test,New Zealand,,Chennai,56,98,57.14,7,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-03-16,2023,Test,Bangladesh,,Mumbai,3,5,60.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-04-25,2023,Test,Zimbabwe,,Ahmedabad,59,104,56.73,7,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-06-03,2023,Test,Sri Lanka,,Chennai,55,97,56.7,5,0,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-07-12,2023,Test,England,,Ahmedabad,12,21,57.14,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-08-20,2023,Test,Zimbabwe,,Kolkata,0,10,0.0,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-09-29,2023,Test,Afghanistan,,Kolkata,90,159,56.6,11,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-11-07,2023,Test,Afghanistan,,Delhi,101,178,56.74,10,2,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2023-12-16,2023,Test,Afghanistan,,Melbourne,30,53,56.6,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-01-24,2024,Test,Pakistan,,Delhi,49,86,56.98,5,1,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-03-04,2024,Test,West Indies,,Ahmedabad,10,17,58.82,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-04-12,2024,Test,West Indies,,Kolkata,22,38,57.89,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-05-21,2024,Test,Zimbabwe,,Mumbai,40,70,57.14,5,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-06-29,2024,Test,West Indies,,Sydney,29,51,56.86,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-08-07,2024,Test,West Indies,,Mumbai,136,240,56.67,16,1,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-09-16,2024,Test,South Africa,,Colombo,18,31,58.06,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-10-25,2024,Test,Sri Lanka,,Sydney,28,49,57.14,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2024-12-03,2024,Test,New Zealand,,Delhi,35,61,57.38,4,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-01-11,2025,Test,Zimbabwe,,Bengaluru,8,14,57.14,0,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-02-20,2025,Test,Sri Lanka,,Dubai,119,210,56.67,14,1,0,1,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-03-31,2025,Test,Bangladesh,,Cape Town,19,33,57.58,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-05-09,2025,Test,Sri Lanka,,Kolkata,23,40,57.5,2,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-06-17,2025,Test,West Indies,,Colombo,35,61,57.38,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-07-27,2025,Test,Sri Lanka,,Kolkata,11,19,57.89,1,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-09-04,2025,Test,South Africa,,Delhi,61,107,57.01,5,1,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-10-13,2025,Test,New Zealand,,Melbourne,33,58,56.9,3,0,0,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-11-21,2025,Test,Afghanistan,,Cape Town,90,159,56.6,10,0,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2025-12-31,2025,Test,West Indies,,London,74,130,56.92,7,0,1,0,67,122,4301,12,18,212,40.57,56.6,Retired (May 2025)
2007-01-01,2007,ODI,Australia,,Kolkata,9,9,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-01-27,2007,ODI,West Indies,,Sydney,6,6,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-02-22,2007,ODI,England,,Chennai,8,8,100.0,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-03-20,2007,ODI,Australia,,Melbourne,41,44,93.18,5,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-04-16,2007,ODI,New Zealand,,Mumbai,9,9,100.0,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-05-12,2007,ODI,New Zealand,,Cape Town,28,30,93.33,3,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-06-07,2007,ODI,New Zealand,,Dubai,68,74,91.89,8,1,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-07-03,2007,ODI,New Zealand,,Cape Town,234,254,92.13,30,2,0,1,273,265,11562,32,57,264,49.2,91.8,Active
2007-07-30,2007,ODI,New Zealand,,Melbourne,56,61,91.8,6,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-08-25,2007,ODI,Australia,,Melbourne,44,47,93.62,6,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-09-20,2007,ODI,England,,Delhi,27,29,93.1,2,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-10-17,2007,ODI,Zimbabwe,,Dubai,124,135,91.85,14,3,0,1,273,265,11562,32,57,264,49.2,91.8,Active
2007-11-12,2007,ODI,Sri Lanka,,Chennai,34,37,91.89,3,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2007-12-08,2007,ODI,Zimbabwe,,Bengaluru,110,119,92.44,11,2,0,1,273,265,11562,32,57,264,49.2,91.8,Active
2008-01-03,2008,ODI,South Africa,,Kolkata,0,12,0.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-01-30,2008,ODI,Australia,,Ahmedabad,84,91,92.31,10,1,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-02-25,2008,ODI,West Indies,,Dubai,225,245,91.84,24,2,0,1,273,265,11562,32,57,264,49.2,91.8,Active
2008-03-22,2008,ODI,England,,Chennai,6,6,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-04-18,2008,ODI,Australia,,Melbourne,18,19,94.74,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-05-14,2008,ODI,Zimbabwe,,Chennai,13,14,92.86,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-06-09,2008,ODI,West Indies,,London,49,53,92.45,6,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-07-05,2008,ODI,New Zealand,,Cape Town,29,31,93.55,2,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-08-01,2008,ODI,Australia,,Colombo,26,28,92.86,3,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-08-27,2008,ODI,South Africa,,Bengaluru,4,4,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-09-22,2008,ODI,West Indies,,Melbourne,5,5,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-10-19,2008,ODI,England,,London,32,34,94.12,3,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-11-14,2008,ODI,Sri Lanka,,Ahmedabad,16,17,94.12,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2008-12-10,2008,ODI,New Zealand,,Bengaluru,1,1,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-01-05,2009,ODI,Pakistan,,Sydney,123,133,92.48,15,1,0,1,273,265,11562,32,57,264,49.2,91.8,Active
2009-02-01,2009,ODI,Australia,,Melbourne,10,10,100.0,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-02-27,2009,ODI,England,,London,18,19,94.74,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-03-25,2009,ODI,Zimbabwe,,Ahmedabad,47,51,92.16,4,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-04-21,2009,ODI,Sri Lanka,,Sydney,35,38,92.11,3,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-05-17,2009,ODI,Pakistan,,Kolkata,91,99,91.92,11,1,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-06-12,2009,ODI,Afghanistan,,Delhi,133,144,92.36,16,1,0,1,273,265,11562,32,57,264,49.2,91.8,Active
2009-07-08,2009,ODI,Australia,,Bengaluru,49,53,92.45,4,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-08-04,2009,ODI,South Africa,,Mumbai,3,3,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-08-30,2009,ODI,Afghanistan,,Chennai,58,63,92.06,7,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-09-25,2009,ODI,Sri Lanka,,Sydney,13,14,92.86,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-10-22,2009,ODI,Bangladesh,,Kolkata,10,10,100.0,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-11-17,2009,ODI,Pakistan,,Colombo,19,20,95.0,2,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2009-12-13,2009,ODI,Pakistan,,Kolkata,6,6,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-01-08,2010,ODI,Afghanistan,,Delhi,23,25,92.0,2,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-02-04,2010,ODI,England,,Delhi,79,86,91.86,9,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-03-02,2010,ODI,Australia,,Ahmedabad,38,41,92.68,4,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-03-28,2010,ODI,Bangladesh,,Colombo,23,25,92.0,2,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-04-24,2010,ODI,Afghanistan,,Ahmedabad,58,63,92.06,7,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-05-20,2010,ODI,Zimbabwe,,Colombo,41,44,93.18,4,1,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-06-15,2010,ODI,Afghanistan,,Cape Town,62,67,92.54,6,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-07-11,2010,ODI,Zimbabwe,,Ahmedabad,91,99,91.92,9,1,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-08-07,2010,ODI,England,,Bengaluru,30,32,93.75,3,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-09-02,2010,ODI,Sri Lanka,,Colombo,126,137,91.97,13,1,0,1,273,265,11562,32,57,264,49.2,91.8,Active
2010-09-28,2010,ODI,South Africa,,Bengaluru,84,91,92.31,8,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-10-25,2010,ODI,Sri Lanka,,Delhi,49,53,92.45,5,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-11-20,2010,ODI,New Zealand,,Cape Town,47,51,92.16,5,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2010-12-16,2010,ODI,Sri Lanka,,Bengaluru,2,2,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-01-11,2011,ODI,England,,Melbourne,0,10,0.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-02-07,2011,ODI,Australia,,London,49,53,92.45,5,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-03-05,2011,ODI,Australia,,Ahmedabad,53,57,92.98,7,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-03-31,2011,ODI,Pakistan,,Cape Town,13,14,92.86,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-04-27,2011,ODI,Zimbabwe,,Kolkata,25,27,92.59,2,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-05-23,2011,ODI,England,,Sydney,25,27,92.59,2,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-06-18,2011,ODI,Zimbabwe,,Cape Town,35,38,92.11,4,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-07-14,2011,ODI,Zimbabwe,,Dubai,83,90,92.22,7,1,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-08-10,2011,ODI,Afghanistan,,Chennai,55,59,93.22,6,1,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-09-05,2011,ODI,Pakistan,,Kolkata,21,22,95.45,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-10-01,2011,ODI,Bangladesh,,Cape Town,40,43,93.02,5,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-10-28,2011,ODI,Bangladesh,,Melbourne,50,54,92.59,5,0,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-11-23,2011,ODI,South Africa,,Bengaluru,3,3,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2011-12-19,2011,ODI,Australia,,Sydney,9,9,100.0,1,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2012-01-14,2012,ODI,New Zealand,,Melbourne,2,2,100.0,0,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
2012-02-10,2012,ODI,South Africa,,Sydney,67,72,93.06,7,1,1,0,273,265,11562,32,57,264,49.2,91.8,Active
2012-03-07,2012,ODI,England,,Mumbai,49,53,92.45,5,0,0,0,273,265,11562,32,57,264,49.2,91.8,Active
